County,Topic,Indicator,AbsoluteIndexDisparity,RelativeIndexDisparity,PopulationWeightedIndexDisparity,PopulationAttributableProportion
Anderson,Attainment,% BACHELOR DGR,5.798651942110433,0.4251111802021391,0.011523992178171136,1.0
Andrews,Attainment,% BACHELOR DGR,2.192818608777099,0.16076007252250632,0.0014001721828107029,1.0
Angelina,Attainment,% BACHELOR DGR,0.9917471802056692,0.07270703923055817,0.002939828172074369,1.0
Aransas,Attainment,% BACHELOR DGR,1.6078632094047212,0.11787578102245455,0.001314635950162514,1.0
Archer,Attainment,% BACHELOR DGR,0.5230147245562353,0.038343292378793296,0.00015361019645751328,1.0
Armstrong,Attainment,% BACHELOR DGR,3.699681391222901,0.2712313031194357,0.00023458414516332413,0.0
Atascosa,Attainment,% BACHELOR DGR,2.584164762623253,0.18945046935783652,0.0043429038236792545,1.0
Austin,Attainment,% BACHELOR DGR,1.3071813912229011,0.09583217435857933,0.0013530079364253394,1.0
Bailey,Attainment,% BACHELOR DGR,1.1003186087770995,0.08066663546033892,0.00026064632423672255,1.0
Bandera,Attainment,% BACHELOR DGR,2.2925385340800446,0.16807074672030542,0.001640121027450898,0.0
Bastrop,Attainment,% BACHELOR DGR,1.1511099626514731,0.08439025477826974,0.0038396083246912916,1.0
Baylor,Attainment,% BACHELOR DGR,3.924681391222899,0.2877265189903625,0.0004665949232391754,0.0
Bee,Attainment,% BACHELOR DGR,6.722540830999321,0.49284338759313046,0.007161194252647634,1.0
Bell,Attainment,% BACHELOR DGR,2.1207279028508097,0.15547495360454341,0.026969804846621405,1.0
Bexar,Attainment,% BACHELOR DGR,3.4601114987497805,0.2536679382637963,0.23854615975417956,1.0
Blanco,Attainment,% BACHELOR DGR,5.739681391222904,0.4207879270158401,0.002239924466011236,0.0
Borden,Attainment,% BACHELOR DGR,22.5396813912229,1.652430712045051,0.00048798839734590105,0.0
Bosque,Attainment,% BACHELOR DGR,1.090318608777098,0.07993351475496427,0.0006821683345565307,0.0
Bowie,Attainment,% BACHELOR DGR,0.48647245493094715,0.035664302930425544,0.0015505065580486033,1.0
Brazoria,Attainment,% BACHELOR DGR,6.087630109171622,0.4462967679695129,0.07770692974719809,1.0
Brazos,Attainment,% BACHELOR DGR,8.601744883286392,0.6306117276286677,0.06901673958463335,1.0
Brewster,Attainment,% BACHELOR DGR,12.019681391222901,0.8811877299910451,0.003936830801894711,1.0
Briscoe,Attainment,% BACHELOR DGR,0.46031860877709896,0.03374691031636893,2.266432541283369e-05,0.0
Brooks,Attainment,% BACHELOR DGR,1.9853186087770993,0.14554781788598484,0.00048200373288079815,1.0
Brown,Attainment,% BACHELOR DGR,0.6258352373767497,0.04588127706738795,0.0008180132799684367,1.0
Burleson,Attainment,% BACHELOR DGR,0.9782528197943297,0.07171773972822423,0.0005921493954694338,0.0
Burnet,Attainment,% BACHELOR DGR,4.046348057889569,0.2966461542390862,0.006820910724499593,1.0
Caldwell,Attainment,% BACHELOR DGR,3.208500426958917,0.23522180962066033,0.005051103545215479,1.0
Calhoun,Attainment,% BACHELOR DGR,4.2753186087770985,0.31343245941675224,0.0029493514532071908,1.0
Callahan,Attainment,% BACHELOR DGR,3.2730147245562318,0.2399514863567889,0.001539410409528857,0.0
Cameron,Attainment,% BACHELOR DGR,2.1380686087770986,0.15674623666058074,0.030885428682745717,1.0
Camp,Attainment,% BACHELOR DGR,0.7663480578895676,0.05618256287624013,0.0003277297491300662,0.0
Carson,Attainment,% BACHELOR DGR,3.8046813912229016,0.27892907052586835,0.0007580580856027053,0.0
Cass,Attainment,% BACHELOR DGR,1.3292074976659887,0.09744695382780041,0.0012976825765918566,1.0
Castro,Attainment,% BACHELOR DGR,0.24698527544376603,0.018107001935045643,6.246400665412258e-05,0.0
Chambers,Attainment,% BACHELOR DGR,2.4974614659199563,0.1830940711540947,0.003990678338190328,1.0
Cherokee,Attainment,% BACHELOR DGR,2.2524614659199553,0.16513261387241865,0.0038960422840901908,1.0
Childress,Attainment,% BACHELOR DGR,0.8446813912229008,0.06192534173500727,0.0001931346865254639,1.0
