zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
73301,UNIQUE,0,Austin,,Internal Revenue Service,TX,Travis County,America/Chicago,512,NA,US,30.26,-97.74,433
73344,UNIQUE,0,Austin,,Internal Revenue Service,TX,Travis County,America/Chicago,512,NA,US,30.26,-97.74,0
73960,PO BOX,0,Texhoma,,,TX,Sherman County,America/Chicago,806,NA,US,36.49,-101.79,0
75001,STANDARD,0,Addison,,,TX,Dallas County,America/Chicago,"214, 469, 945, 972",NA,US,32.96,-96.83,14260
75002,STANDARD,0,Allen,"Lucas, Parker",,TX,Collin County,America/Chicago,"214, 469, 945, 972",NA,US,33.1,-96.66,67260
75006,STANDARD,0,Carrollton,,,TX,Dallas County,America/Chicago,"214, 469, 945, 972",NA,US,32.98,-96.89,43420
75007,STANDARD,0,Carrollton,,,TX,Denton County,America/Chicago,"214, 469, 945, 972",NA,US,33.01,-96.9,49330
75009,STANDARD,0,Celina,,,TX,Collin County,America/Chicago,"214, 430, 469, 903, 940, 945, 972",NA,US,33.32,-96.78,24850
75010,STANDARD,0,Carrollton,,,TX,Denton County,America/Chicago,"214, 469, 945, 972",NA,US,33.04,-96.88,31100
75011,PO BOX,0,Carrollton,,,TX,Dallas County,America/Chicago,214,NA,US,32.98,-96.89,1742
75013,STANDARD,0,Allen,,,TX,Collin County,America/Chicago,"214, 469, 945, 972",NA,US,33.11,-96.69,49730
75014,PO BOX,0,Irving,,,TX,Dallas County,America/Chicago,214,NA,US,32.85,-96.96,410
75015,PO BOX,0,Irving,,,TX,Dallas County,America/Chicago,214,NA,US,32.85,-96.96,1123
75016,PO BOX,0,Irving,,,TX,Dallas County,America/Chicago,214,NA,US,32.85,-96.96,1202
75017,PO BOX,0,Irving,,,TX,Dallas County,America/Chicago,214,NA,US,32.85,-96.96,570
75019,STANDARD,0,Coppell,,,TX,Dallas County,America/Chicago,"214, 469, 682, 817, 945, 972",NA,US,32.96,-96.99,44750
75020,STANDARD,0,Denison,,,TX,Grayson County,America/Chicago,"430, 580, 903",NA,US,33.75,-96.56,20550
75021,STANDARD,0,Denison,,,TX,Grayson County,America/Chicago,"430, 580, 903",NA,US,33.73,-96.47,7850
75022,STANDARD,0,Flower Mound,"Flowermound, Lewisville",,TX,Denton County,America/Chicago,"214, 469, 682, 817, 940, 945, 972",NA,US,33.02,-97.09,26110
75023,STANDARD,0,Plano,,,TX,Collin County,America/Chicago,"214, 469, 945, 972",NA,US,33.06,-96.73,43370
75024,STANDARD,0,Plano,,,TX,Collin County,America/Chicago,"214, 469, 945, 972",NA,US,33.08,-96.8,43950
75025,STANDARD,0,Plano,,,TX,Collin County,America/Chicago,"214, 469, 945, 972",NA,US,33.09,-96.74,51480
75026,PO BOX,0,Plano,,,TX,Collin County,America/Chicago,214,NA,US,33.04,-96.74,993
75027,PO BOX,0,Flower Mound,"Flowermound, Lewisville",,TX,Denton County,America/Chicago,214,NA,US,33.02,-97.09,670
