iter	Passed	Remaining
0	198	19628
1	250	12289
2	298	9639
3	356	8547
4	483	9185
5	630	9882
6	793	10546
7	838	9640
8	881	8916
9	929	8361
10	975	7893
11	1025	7523
12	1076	7200
13	1127	6923
14	1175	6663
15	1227	6445
16	1281	6258
17	1329	6056
18	1373	5855
19	1422	5688
20	1468	5524
21	1518	5385
22	1567	5246
23	1613	5109
24	1660	4981
25	1709	4865
26	1767	4779
27	1820	4681
28	1872	4584
29	1922	4486
30	1972	4390
31	2015	4283
32	2059	4182
33	2106	4088
34	2154	4001
35	2207	3924
36	2250	3832
37	2299	3752
38	2345	3669
39	2389	3583
40	2442	3514
41	2500	3453
42	2552	3383
43	2598	3306
44	2643	3231
45	2697	3167
46	2749	3100
47	2798	3031
48	2860	2977
49	2905	2905
50	2950	2834
51	2991	2761
52	3042	2698
53	3094	2635
54	3142	2571
55	3203	2517
56	3255	2455
57	3302	2391
58	3353	2330
59	3397	2265
60	3444	2202
61	3490	2139
62	3534	2075
63	3577	2012
64	3623	1950
65	3670	1890
66	3722	1833
67	3770	1774
68	3819	1716
69	3876	1661
70	3936	1607
71	3986	1550
72	4033	1491
73	4085	1435
74	4130	1376
75	4175	1318
76	4226	1262
77	4272	1205
78	4324	1149
79	4373	1093
80	4427	1038
81	4478	983
82	4528	927
83	4574	871
84	4621	815
85	4668	760
86	4720	705
87	4763	649
88	4805	593
89	4851	539
90	4895	484
91	4946	430
92	4993	375
93	5046	322
94	5096	268
95	5147	214
96	5197	160
97	5248	107
98	5298	53
99	5347	0
